id,address,bedrooms,bathrooms,monthly_price,ber,category,daft_link,agent_name,has_video,has_virtual_tour,total_images,dublin_subcode
5542051,"Newmarket Yards, Dublin City Centre, Dublin 8",1.0,1.0,2500,A2,Rent,http://www.daft.ie/for-rent/apartment-newmarket-yards-1-bed-type-a-newmarket-yards-dublin-city-centre-dublin-8/5542051,Newmarket Yards Leasing Team,True,True,15,8.0
1527608,"Node D2 - Fitzwilliam Square, 25 Pembroke Street Upper, Dublin 2",1.0,,1982,C3,Rent,http://www.daft.ie/for-rent/node-living-25-pembroke-street-upper-dublin-2/1527608,Node Living,True,False,25,2.0
5899542,"Newtown Gardens , Newtownpark Avenue , Blackrock, Co. Dublin",2.0,2.0,3000,A2,Rent,http://www.daft.ie/for-rent/apartment-newtown-gardens-newtown-gardens-newtownpark-avenue-blackrock-co-dublin/5899542,Newtown Gardens,False,False,12,
2531008,"Capital Dock Residence, No. 2 Stevens Walk, Dublin 2",2.0,2.0,3600,A2,Rent,http://www.daft.ie/for-rent/apartment-2-bedroom-apartment-capital-dock-residence-no-2-stevens-walk-dublin-2/2531008,Letting Agent  PSRA 002608,False,True,17,2.0
1443909,"Capital Dock Residence, No. 2 Stevens Walk, Dublin 2",2.0,2.0,3900,A2,Rent,http://www.daft.ie/for-rent/apartment-2-bedroom-apartment-capital-dock-residence-capital-dock-82-sir-john-dublin-2/1443909,Letting Agent  PSRA 002608,False,True,22,2.0
4272068,"Castle View, Muirfield Drive, Dublin 12, Bluebell, Dublin 12",2.0,2.0,2750,A1,Rent,http://www.daft.ie/for-rent/apartment-2-bed-castle-view-muirfield-drive-dublin-12-bluebell-dublin-12/4272068,Castle View,False,False,19,12.0
4272064,"Castle View, Muirfield Drive, Dublin 12, Bluebell, Dublin 12",3.0,2.0,3350,A1,Rent,http://www.daft.ie/for-rent/apartment-3-bed-apartment-castle-view-muirfield-drive-dublin-12-bluebell-dublin-12/4272064,Castle View,False,False,19,12.0
6230064,"Liberties House, The Liberties, Dublin 8",1.0,,1850,,Rent,http://www.daft.ie/for-rent/studio-apartment-the-pad-liberties-house-the-liberties-dublin-8/6230064,Liberties House Team,False,False,14,8.0
6157731,"Liberties House, The Liberties, Dublin 8",1.0,,1990,,Rent,http://www.daft.ie/for-rent/studio-apartment-the-pad-liberties-house-the-liberties-dublin-8/6157731,Liberties House Team,False,False,26,8.0
6157728,"Liberties House, The Liberties, Dublin 8",1.0,,2095,,Rent,http://www.daft.ie/for-rent/studio-apartment-penthouse-liberties-house-the-liberties-dublin-8/6157728,Liberties House Team,False,False,26,8.0
6157729,"Liberties House, The Liberties, Dublin 8",1.0,,2495,,Rent,http://www.daft.ie/for-rent/studio-apartment-abode-deluxe-liberties-house-the-liberties-dublin-8/6157729,Liberties House Team,False,False,26,8.0
6231788,"143 Merrion Road, Merrion Road, Dublin 4",3.0,2.0,4500,A2,Rent,http://www.daft.ie/for-rent/apartment-three-bedroom-apartment-143-merrion-road-merrion-road-dublin-4/6231788,John Burke,True,False,18,4.0
6231787,"143 Merrion Road, Merrion Road, Dublin 4",2.0,2.0,4750,A2,Rent,http://www.daft.ie/for-rent/apartment-two-bedroom-apartment-143-merrion-road-merrion-road-dublin-4/6231787,John Burke,True,False,15,4.0
4636155,"One Lime Street, Docklands, Dublin 2",1.0,1.0,2446,A3,Rent,http://www.daft.ie/for-rent/apartment-one-bedroom-one-lime-street-docklands-dublin-2/4636155,One Lime Street,True,True,13,2.0
4636153,"One Lime Street, Docklands, Dublin 2",2.0,1.0,3169,A3,Rent,http://www.daft.ie/for-rent/apartment-two-bedroom-one-lime-street-docklands-dublin-2/4636153,One Lime Street,False,True,11,2.0
5920513,"East Wharf, East Wall Road, Dublin 3",1.0,1.0,2050,A2,Rent,http://www.daft.ie/for-rent/apartment-1-bedroom-apartment-east-wharf-east-wall-road-dublin-3/5920513,East Wharf,True,True,24,3.0
5926596,"DX Living , Donnybrook Road, Dublin 4",1.0,,1850,A2,Rent,http://www.daft.ie/for-rent/studio-apartment-studio-apartment-dx-living-donnybrook-road-dublin-4/5926596,Lettings Office,True,True,36,4.0
5353889,"Oatlands Manor, Cherrygarth, Mount Merrion, Co. Dublin",3.0,2.0,4072,A2,Rent,http://www.daft.ie/for-rent/house-3-bedroom-duplex-oatlands-manor-cherrygarth-mount-merrion-co-dublin/5353889,Dora Dimic,False,False,11,
6223175,"Lansdowne Place, Lansdowne Road, Dublin 4",1.0,1.0,4750,A2,Rent,http://www.daft.ie/for-rent/apartment-the-templeton-lansdowne-place-lansdowne-road-dublin-4/6223175,Eileen Sheehy,True,False,10,4.0
6222877,"Lansdowne Place, Lansdowne Road, Dublin 4",1.0,1.0,5000,A2,Rent,http://www.daft.ie/for-rent/apartment-the-harvey-lansdowne-place-lansdowne-road-dublin-4/6222877,Eileen Sheehy,True,False,13,4.0
